Nom,Entité,Statut,Fabricant,Modèle,Type,"Adresse IP","Numéro de série",Lieu,"Date création"
IMP-IT-001,Informatique,"En service",HP,"LaserJet Pro M404dn",Laser,192.168.1.50,SNHP123456789,"Salle Serveur Bâtiment A","15/10/2023 08:58"
IMP-IT-002,Informatique,"En service",Canon,"imageRUNNER ADVANCE C3530i",Multifonction,192.168.1.51,SNCA987654321,"Bureau Support IT","15/10/2024 08:58"
IMP-RH-001,"Ressources Humaines","En service",Brother,HL-L8360CDW,Laser,192.168.1.60,SNBR111222333,"Bureau RH 201","15/04/2024 08:58"
IMP-COM-001,Commercial,"En service",Epson,"WorkForce WF-7820","Jet d'encre",192.168.1.70,SNEP555666777,"Espace Commercial Open Space","15/01/2025 08:58"
IMP-COM-002,Commercial,"En maintenance",HP,"LaserJet Pro M203dw",Laser,192.168.1.71,SNHP444555666,"Bureau Chef des Ventes","15/04/2025 08:58"
IMP-DIR-001,Direction,"En service",Xerox,"VersaLink C400",Multifonction,192.168.1.80,SNXE777888999,"Bureau du Directeur Général","15/07/2025 08:58"
IMP-COMPTA-001,Comptabilité,"En service",Lexmark,MX421ade,Laser,192.168.1.90,SNLM333222111,"Service Comptabilité - Bureau 301","15/10/2022 08:58"
IMP-MKT-001,Marketing,"En service",Epson,"SureColor P700","Jet d'encre",192.168.1.100,SNEP888999000,"Service Marketing - Salle Créa","15/06/2025 08:58"
IMP-STOCK-001,IT,"En stock",HP,"LaserJet Pro MFP M428fdw",Laser,N/A,SNHP000111222,"Réserve IT - Local RDC","15/08/2025 08:58"
IMP-STOCK-002,IT,"En stock",Brother,MFC-L3750CDW,Multifonction,N/A,SNBR555444333,"Réserve IT - Local RDC","15/04/2025 08:58"
IMP-HS-001,Informatique,"Hors service",Canon,"i-SENSYS LBP6230dn",Laser,192.168.1.200,SNCA666777888,"Local Technique - En attente recyclage","15/10/2020 08:58"
IMP-HS-002,Commercial,"Hors service",Epson,"Stylus SX235W","Jet d'encre",N/A,SNEP222333444,"Local Technique","15/10/2021 08:58"
IMP-PROD-001,Production,"En service",Zebra,ZT410,Thermique,192.168.2.10,SNZB123456789,"Atelier Production - Ligne A","15/02/2025 08:58"
IMP-REC-001,Réception,"En service",Brother,DCP-L3550CDW,Multifonction,192.168.1.110,SNBR999888777,"Poste Accueil Principal","15/10/2024 08:58"
IMP-REUNION-001,Direction,"En service",HP,"LaserJet Enterprise M506dn",Laser,192.168.1.120,SNHP333444555,"Salle de Réunion Conseil","15/03/2025 08:58"
